text,raw_text,source,genre,movie_title,movie_year,tmdb_id,imdb_id,rating,votes,author,comment_id,replies,time,is_reply,is_hearted,trailer_id,sentiment,intensity,topic,contains_spoiler
please pray for Grand Theft Auto 6 out and for rain in Novocherkassk,please pray for Grand Theft Auto 6 out and for rain in Novocherkassk,youtube,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,,0,@ilyasergeevich7621,Ugydxz4eSIdOqPEu04t4AaABAg.9poqrRBpTot9ptvDpiggkv,0,2 years ago,True,False,avz06PDqDbM,off_topic,1,off_topic,False
"I haven't seen any of these movies (yeah I know), do I need to watch these in order? I really wanna catch up.","I haven't seen any of these movies (yeah I know), do I need to watch these in order? I really wanna catch up.",youtube,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,,0,@VeraxMusic,Ugydxz4eSIdOqPEu04t4AaABAg.9poqrRBpTot9pq-6d31gTX,0,2 years ago,True,False,avz06PDqDbM,off_topic,1,off_topic,False
Where's Charlize ?,Where's Charlize 😢?,youtube,action,Mad Max: Furiosa,2024,786892,tt12037194,,0,@moMix855,Ugz5ThR26X5V65b0XlN4AaABAg.9xl-4Akgk4-9xzU_8EPZOT,0,2 years ago,True,False,XJMuhwVlca4,off_topic,1,off_topic,False
Bro how did u know,Bro how did u know,youtube,action,Top Gun: Maverick,2022,361743,tt1745960,,2,@emmanuelgerard2962,UgyER-UGCXcyurHv-1Z4AaABAg.9bc86DnmPAK9bsbwy3ayja,0,3 years ago,True,False,giXco2jaZ_4,off_topic,1,off_topic,False
I read the same article you did.,I read the same article you did.,youtube,action,John Wick: Chapter 4,2023,603692,tt10366206,,1,@john.wick1,UgyeTRteQF9WR2Wtkhd4AaABAg.9iGGhLjUkJm9iIWMRekkfd,0,3 years ago,True,False,qEVUtrk8_B4,off_topic,1,off_topic,False
"Exactly, seems to be lost ancient knowledge somehow? I honstely dont understand what Hollywood has been doing the past 8-10 years...","Exactly, seems to be lost ancient knowledge somehow? I honstely dont understand what Hollywood has been doing the past 8-10 years...",youtube,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,,7,@kristoffermaurer9689,UgwC5R7xpoEau5Euhj94AaABAg.9pou5m_nZNC9poylaitDbR,0,2 years ago,True,False,avz06PDqDbM,negative,2,general,False
So true. I only heard of it when the second one was already out.,So true. I only heard of it when the second one was already out.,youtube,action,John Wick: Chapter 4,2023,603692,tt10366206,,1,@DarkAngelEU,UgyeTRteQF9WR2Wtkhd4AaABAg.9iGGhLjUkJm9iGeIM8WzRQ,0,3 years ago,True,False,qEVUtrk8_B4,off_topic,1,off_topic,False
"I remember seeing John Wick at the $3 movie theatre, it was about 3 months after it's initial release. Had no clue what I was in for. Crazy to see how far it's come.","I remember seeing John Wick at the $3 movie theatre, it was about 3 months after it's initial release. Had no clue what I was in for. Crazy to see how far it's come.",youtube,action,John Wick: Chapter 4,2023,603692,tt10366206,,12,@draggabeats,UgyeTRteQF9WR2Wtkhd4AaABAg.9iGGhLjUkJm9iG_vX3fiii,0,3 years ago,True,False,qEVUtrk8_B4,positive,4,general,False
"Unlike other franchises, for example Fast 11","Unlike other franchises, for example Fast 11",youtube,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,,1,@Black-Re4per,Ugydxz4eSIdOqPEu04t4AaABAg.9poqrRBpTot9qzpQZu6t_c,0,2 years ago,True,False,avz06PDqDbM,negative,2,general,False
"This franchise somehow keeps getting better with every movie since #3, it's insane!","This franchise somehow keeps getting better with every movie since #3, it's insane!",youtube,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,,19000,@WatchMojo,Ugydxz4eSIdOqPEu04t4AaABAg,271,2 years ago,False,False,avz06PDqDbM,positive,4,general,False
This movie looks epic now we need a another mad max film again just something crazy about these films just a laugh to watch,This movie looks epic now we need a another  mad max film again  just something  crazy about these films just  a laugh to watch,youtube,action,Mad Max: Furiosa,2024,786892,tt12037194,,0,@jonathanoxlade4252,Ugz5ThR26X5V65b0XlN4AaABAg.9xl-4Akgk4-9xzR0jCQbFu,0,2 years ago,True,False,XJMuhwVlca4,positive,4,visuals,False
I think he’s doing two more,I think he’s doing two more,youtube,action,Mad Max: Furiosa,2024,786892,tt12037194,,1,@Here_for_the_boglim,Ugz5ThR26X5V65b0XlN4AaABAg.9xl-4Akgk4-9xt4TNnAMc8,0,2 years ago,True,False,XJMuhwVlca4,neutral,2,off_topic,False
Witness ‍ ‍ ‍,Witness 👁️‍🗨️👁️‍🗨️👁️‍🗨️,youtube,action,Mad Max: Furiosa,2024,786892,tt12037194,,0,@810Fam,Ugz5ThR26X5V65b0XlN4AaABAg.9xl-4Akgk4-9yFDXRd4XUy,0,2 years ago,True,False,XJMuhwVlca4,neutral,1,off_topic,False
"Taiwan is awesome.....also, it's not communist! #TheRealChina","Taiwan is awesome.....also, it's not communist!
#TheRealChina",youtube,action,Top Gun: Maverick,2022,361743,tt1745960,,2,@DesertSky928,UgyER-UGCXcyurHv-1Z4AaABAg.9bc86DnmPAK9bs6QpW-f7h,0,3 years ago,True,False,giXco2jaZ_4,neutral,1,off_topic,False
I wish we could get another mad max post fury road time period though too.,I wish we could get another mad max post fury road time period though too.,youtube,action,Mad Max: Furiosa,2024,786892,tt12037194,,1,@spurbronc9449,Ugz5ThR26X5V65b0XlN4AaABAg.9xl-4Akgk4-9zlbX92nl2f,0,2 years ago,True,False,XJMuhwVlca4,positive,3,general,False
Honestly I liked 3 but ghost protocol was whatever ever since Rebecca Ferguson joined and that whole evil group storyline I think it’s gotten amazing,Honestly I liked 3 but ghost protocol was whatever ever since Rebecca Ferguson joined and that whole evil group storyline I think it’s gotten amazing,youtube,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,,1,@npierce14,Ugydxz4eSIdOqPEu04t4AaABAg.9poqrRBpTot9pu-piEOO7A,0,2 years ago,True,False,avz06PDqDbM,positive,4,plot,False
"No this looks terrible there are not enough culturally diverse people in it, certainly going to rule out an Academy Award :P","No this looks terrible there are not enough culturally diverse people in it, certainly going to rule out an Academy Award :P",youtube,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,,0,@Battleneter,Ugydxz4eSIdOqPEu04t4AaABAg.9poqrRBpTot9py73X05MFK,0,2 years ago,True,False,avz06PDqDbM,negative,3,general,False
Isn't the comparative CRAZIER than?,Isn't the comparative CRAZIER than?,youtube,action,Mad Max: Furiosa,2024,786892,tt12037194,,0,@professorphillipe3552,Ugz5ThR26X5V65b0XlN4AaABAg.9xl-4Akgk4-9xmv1zfYUL7,0,2 years ago,True,False,XJMuhwVlca4,neutral,2,off_topic,False
Happened to me as well..pure kick-ass stuff,Happened to me as well..pure kick-ass stuff,youtube,action,Top Gun: Maverick,2022,361743,tt1745960,,0,@democraticAsh,UgyER-UGCXcyurHv-1Z4AaABAg.9bc86DnmPAK9cD-1uluLFA,0,3 years ago,True,False,giXco2jaZ_4,positive,5,general,False
Yes my War boy!,Yes my War boy!,youtube,action,Mad Max: Furiosa,2024,786892,tt12037194,,0,@MatHoy1979,Ugz5ThR26X5V65b0XlN4AaABAg.9xl-4Akgk4-9yEsZAZqwI4,0,2 years ago,True,False,XJMuhwVlca4,positive,3,general,False
I love how Keanu delivers each line as if it were the first words he has ever spoken.,I love how Keanu delivers each line as if it were the first words he has ever spoken.,youtube,action,John Wick: Chapter 4,2023,603692,tt10366206,,2200,@LPChipi,UgyBzfw9EnkD46KkM7x4AaABAg,21,3 years ago,False,False,qEVUtrk8_B4,positive,5,acting,False
Nah 3 was the best but the others are great too,Nah 3 was the best but the others are great too,youtube,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,,1,@mustang8206,Ugydxz4eSIdOqPEu04t4AaABAg.9poqrRBpTot9qi5poLJp0v,0,2 years ago,True,False,avz06PDqDbM,positive,4,general,False
@markblancher6801 did it? interesting. Any trusted sources on that?, @markblancher6801  did it? interesting. Any trusted sources on that?,youtube,action,John Wick: Chapter 4,2023,603692,tt10366206,,0,@vsemprivet,UgyeTRteQF9WR2Wtkhd4AaABAg.9iGGhLjUkJmA5nMr19zvyp,0,1 year ago,True,False,qEVUtrk8_B4,neutral,2,off_topic,False
"@batsoup8338 Actually, No. If you look and count carefully. the firearms do not have infinite capacity. He keeps picking up dropped weapons."," @batsoup8338  Actually, No. If you look and count carefully. the firearms do not have infinite capacity. He keeps picking up dropped weapons.",youtube,action,John Wick: Chapter 4,2023,603692,tt10366206,,4,@londomolari5715,UgyeTRteQF9WR2Wtkhd4AaABAg.9iGGhLjUkJm9iGjD-Rhuvq,0,3 years ago,True,False,qEVUtrk8_B4,neutral,2,off_topic,False
I feel like chris Hemsworth waited his whole life to play this character. Dudes charisma is off the charts and he gets to be as aussie as he can be,I feel like chris Hemsworth waited his whole life to play this character. Dudes charisma is off the charts and he gets to be as aussie as he can be,youtube,action,Mad Max: Furiosa,2024,786892,tt12037194,,368,@schawdaya,Ugw1O4mQmb0uodrzdrh4AaABAg,8,1 year ago,False,False,XJMuhwVlca4,positive,5,acting,False
Actually I feel like Rogue Nation is still the best sequel in the series.,Actually I feel like Rogue Nation is still the best sequel in the series.,youtube,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,,0,@darkwitch8648,Ugydxz4eSIdOqPEu04t4AaABAg.9poqrRBpTot9pxyqR89-A0,0,2 years ago,True,False,avz06PDqDbM,positive,4,general,False
How can it be considered Mad Max if there is no Mad Max?,How can it be considered Mad Max if there is no Mad Max?,youtube,action,Mad Max: Furiosa,2024,786892,tt12037194,,2,@chazharris5386,Ugz5ThR26X5V65b0XlN4AaABAg.9xl-4Akgk4-9xqDn02G3V8,0,2 years ago,True,False,XJMuhwVlca4,negative,3,plot,False
It was awesome! Going again.,"It was awesome!
Going again.",youtube,action,Top Gun: Maverick,2022,361743,tt1745960,,0,@andrewsmith2404,UgyER-UGCXcyurHv-1Z4AaABAg.9bc86DnmPAK9cEgYiknQIH,0,3 years ago,True,False,giXco2jaZ_4,positive,5,general,False
"Wow I guess not many people watch good movies. I've been watching this series since day 1 of the first one, just like I watched the Raid when it first came out. Cant wait for what ahead for Keanu with Star Wars and the MCU. Maybe even Batman one day, he can beat Pattinson a$$!!","Wow I guess not many people watch good movies. I've been watching this series since day 1 of the first one, just like I watched the Raid when it first came out. Cant wait for what ahead for Keanu with Star Wars and the MCU. Maybe even Batman one day, he can beat Pattinson a$$!!",youtube,action,John Wick: Chapter 4,2023,603692,tt10366206,,0,@jerrycaravella1451,UgyeTRteQF9WR2Wtkhd4AaABAg.9iGGhLjUkJm9iH05aBpuX1,0,3 years ago,True,False,qEVUtrk8_B4,positive,4,general,False
Yep. Watched it yesterday and here I am. Going to watch the movie again this week :),Yep. Watched it yesterday and here I am. Going to watch the movie again this week :),youtube,action,Top Gun: Maverick,2022,361743,tt1745960,,3,@richardroden137,UgyER-UGCXcyurHv-1Z4AaABAg.9bc86DnmPAK9bvFHJzqNJE,0,3 years ago,True,False,giXco2jaZ_4,positive,4,general,False
Gozellıhdı eh kıno,Gozellıhdı eh kıno,youtube,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,,0,@SerxanHesenov-bj4vf,UgwtsRFdOSzaxFnAvtl4AaABAg.9vhTYMBXAs3A1UnoHDnkRG,0,2 years ago,True,False,avz06PDqDbM,positive,3,general,False
Almost 10 years,Almost 10 years,youtube,action,Mad Max: Furiosa,2024,786892,tt12037194,,2,@jaydavid2920,Ugz5ThR26X5V65b0XlN4AaABAg.9xl-4Akgk4-9xl4mhMsCCR,0,2 years ago,True,False,XJMuhwVlca4,neutral,2,general,False
"I don't even get any rumors about this, hus saw a post on ig and went here, what a lovely day","I don't even get any rumors about this, hus saw a post on ig and went here, what a lovely day 🔥",youtube,action,Mad Max: Furiosa,2024,786892,tt12037194,,0,@RandomThingsWithZane,Ugz5ThR26X5V65b0XlN4AaABAg.9xl-4Akgk4-9xot8j1APUp,0,2 years ago,True,False,XJMuhwVlca4,positive,4,general,False
Gerçekten izlemenizi tavsiye ederim harika bir yapım,Gerçekten izlemenizi tavsiye ederim harika bir yapım 🎉,youtube,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,,0,@UmutErenDurmaz,UgwtsRFdOSzaxFnAvtl4AaABAg.9vhTYMBXAs3A-sY9Qwk_AJ,0,2 years ago,True,False,avz06PDqDbM,positive,5,general,False
@Juggernaut-ue7xw Constantine should've happened as well. Such a great movie that would've made a great franchise, @Juggernaut-ue7xw  Constantine should've happened as well. Such a great movie that would've made a great franchise,youtube,action,John Wick: Chapter 4,2023,603692,tt10366206,,0,@AABradyKK,UgyeTRteQF9WR2Wtkhd4AaABAg.9iGGhLjUkJm9iGwYTIRqQv,0,3 years ago,True,False,qEVUtrk8_B4,positive,4,general,False
​ @h1d4pj0k0w1 glad he made it in time. He's almost at the age he might have considered running for president instead.,​ @h1d4pj0k0w1 glad he made it in time. He's almost at the age he might have considered running for president instead.,youtube,action,Mad Max: Furiosa,2024,786892,tt12037194,,4,@VilémProcházka,Ugz5ThR26X5V65b0XlN4AaABAg.9xl-4Akgk4-9xm0yawCyfp,0,2 years ago (edited),True,False,XJMuhwVlca4,neutral,2,off_topic,False
Tom Cruise is the Goat,Tom Cruise is the Goat,youtube,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,,1,@Elsa18283,Ugydxz4eSIdOqPEu04t4AaABAg.9poqrRBpTotA0qtdxC9sPQ,0,2 years ago,True,False,avz06PDqDbM,positive,5,acting,False
Part 3 was the turning point of franchise !,Part 3 was the turning point of franchise !,youtube,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,,2,@jaschowdhari3463,Ugydxz4eSIdOqPEu04t4AaABAg.9poqrRBpTot9qQ9WGB94-F,0,2 years ago,True,False,avz06PDqDbM,positive,4,plot,False
Let us all be witnesses!,Let us all be witnesses!,youtube,action,Mad Max: Furiosa,2024,786892,tt12037194,,5,@ParryMikiri,Ugz5ThR26X5V65b0XlN4AaABAg.9xl-4Akgk4-9xlDYj94BZW,0,2 years ago,True,False,XJMuhwVlca4,neutral,2,general,False
"You never know whats going to be in the movie business. And thats my friend, is awesome :)","You never know whats going to be in the movie business. And thats my friend, is awesome :)",youtube,action,John Wick: Chapter 4,2023,603692,tt10366206,,0,@elzekeoficial,UgyeTRteQF9WR2Wtkhd4AaABAg.9iGGhLjUkJm9iGgz0kzfwG,0,3 years ago,True,False,qEVUtrk8_B4,positive,4,general,False
Idk about no one thinking that,Idk about no one thinking that,youtube,action,John Wick: Chapter 4,2023,603692,tt10366206,,0,@_theBigGOAT,UgyeTRteQF9WR2Wtkhd4AaABAg.9iGGhLjUkJm9iGnzkrUATH,0,3 years ago,True,False,qEVUtrk8_B4,neutral,2,off_topic,False
Can i watch this movie without having watched the previous movies?,Can i watch this movie without having watched the previous movies?,youtube,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,,1,@kristiyangrigorov5232,Ugydxz4eSIdOqPEu04t4AaABAg.9poqrRBpTot9todQQfrDve,0,2 years ago,True,False,avz06PDqDbM,neutral,2,off_topic,False
This comment hyped me up more than the trailer.,This comment hyped me up more than the trailer.,youtube,action,Mad Max: Furiosa,2024,786892,tt12037194,,0,@Lasturner,Ugz5ThR26X5V65b0XlN4AaABAg.9xl-4Akgk4-9xmuOAo3FDd,0,2 years ago,True,False,XJMuhwVlca4,positive,4,general,False
Love it brother,Love it brother 🙌 😮,youtube,action,Mad Max: Furiosa,2024,786892,tt12037194,,0,@iRisky-y,Ugz5ThR26X5V65b0XlN4AaABAg.9xl-4Akgk4-9y5CAwIxVPX,0,2 years ago,True,False,XJMuhwVlca4,positive,5,general,False
Yep you're not wrong,Yep you're not wrong,youtube,action,Top Gun: Maverick,2022,361743,tt1745960,,5,@tmuthafreakingpain,UgyER-UGCXcyurHv-1Z4AaABAg.9bc86DnmPAK9bj60bGmHxd,0,3 years ago,True,False,giXco2jaZ_4,positive,3,general,False
Art imitating life is strong in this one. Hard to not intuitively relate to it seems.,Art imitating life is strong in this one. Hard to not intuitively relate to it seems.,youtube,action,John Wick: Chapter 4,2023,603692,tt10366206,,1,@muntee33,UgyeTRteQF9WR2Wtkhd4AaABAg.9iGGhLjUkJm9iGanDhT9SK,0,3 years ago,True,False,qEVUtrk8_B4,positive,4,plot,False
Let's be honest Keanu Reeves has been a beacon right now. This man is such a humble human. He deserves EVERY role he gets and has. Can't wait to see it in theaters! ..My girl broke up with me send me love and a dollar she screwed me over $rythefryguy Edit: Thanks for the likes guys I'm glad we can all agree this man is a legend. These past few years have been tough and his interviews and movies are just a great thing to zone out to. And cyberpunk has been on a rise.,"Let's be honest Keanu Reeves has been a beacon right now. This man is such a humble human. He deserves EVERY role he gets and has. Can't wait to see it in theaters!
..My girl broke up with me send me love and a dollar she screwed me over $rythefryguy


Edit: Thanks for the likes guys I'm glad we can all agree this man is a legend. These past few years have been tough and his interviews and movies are just a great thing to zone out to. And cyberpunk has been on a rise.",youtube,action,John Wick: Chapter 4,2023,603692,tt10366206,,9900,@ryanmchenry1065,UgzF2tAEIhZv49Cb4Wx4AaABAg,106,3 years ago (edited),False,False,qEVUtrk8_B4,positive,5,acting,False
Instead of Fast and Furious. That's a joke. #10 is the worst,Instead of Fast and Furious. That's a joke. #10 is the worst,youtube,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,,0,@petrosltdo,Ugydxz4eSIdOqPEu04t4AaABAg.9poqrRBpTot9pyaQcULvH0,0,2 years ago,True,False,avz06PDqDbM,negative,3,general,False
Feel like rewatching the series....again....,Feel like rewatching the series....again....,youtube,action,John Wick: Chapter 4,2023,603692,tt10366206,,2,@nawedahmed8168,UgyeTRteQF9WR2Wtkhd4AaABAg.9iGGhLjUkJm9iGeuUzVQzM,0,3 years ago,True,False,qEVUtrk8_B4,positive,4,general,False
"Every movie i have ever watched ""if it has ""tom cruise"" its worth my eyes.","Every movie i have ever watched ""if it has ""tom cruise"" its worth my eyes.",youtube,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,,1,@smallwhitebearswb,Ugydxz4eSIdOqPEu04t4AaABAg.9poqrRBpTot9pynZBFO_-N,0,2 years ago,True,False,avz06PDqDbM,positive,4,general,False
"@RatedAwesome I actually did this exact same thing with the Lord Of The Rings movies. The first 2 came out, I completely ignored them and ignored them. Found them on DVD at a pawnshop and bought them along with 6 others(first 8 dvds I ever owned). Still ignored them til my cousin came over one night, saw that I had them, & properly flipped his lid when he found out I still had never seen them. By the time I finished the second movie I was fiending for Return Of The King and promptly went to see it in theaters the moment it came out. Odd how we do that with stuff that turns out to be among the most epic of epics."," @RatedAwesome  I actually did this exact same thing with the Lord Of The Rings movies. The first 2 came out, I completely ignored them and ignored them. Found them on DVD at a pawnshop and bought them along with 6 others(first 8 dvds I ever owned). Still ignored them til my cousin came over one night, saw that I had them, & properly flipped his lid when he found out I still had never seen them. By the time I finished the second movie I was fiending for Return Of The King and promptly went to see it in theaters the moment it came out. Odd how we do that with stuff that turns out to be among the most epic of epics.",youtube,action,John Wick: Chapter 4,2023,603692,tt10366206,,1,@fr0stb1ght34,UgyeTRteQF9WR2Wtkhd4AaABAg.9iGGhLjUkJm9iHacIoiq3h,0,3 years ago (edited),True,False,qEVUtrk8_B4,neutral,2,off_topic,False
Just so that you wish you can rewatch some of the scenes,Just so that you wish you can rewatch some of the scenes,youtube,action,Top Gun: Maverick,2022,361743,tt1745960,,101,@charlesw1973,UgyER-UGCXcyurHv-1Z4AaABAg.9bc86DnmPAK9bhIxV52OPG,0,3 years ago,True,False,giXco2jaZ_4,neutral,2,general,False
better not be - mediocre,better not be - mediocre,youtube,action,Mad Max: Furiosa,2024,786892,tt12037194,,1,@HTx78,Ugz5ThR26X5V65b0XlN4AaABAg.9xl-4Akgk4-9xvKKU5LX6b,0,2 years ago,True,False,XJMuhwVlca4,negative,2,general,False
It hasn’t been 10 yearrls,It hasn’t been 10 yearrls,youtube,action,Mad Max: Furiosa,2024,786892,tt12037194,,0,@mattdick6167,Ugz5ThR26X5V65b0XlN4AaABAg.9xl-4Akgk4-9xl4W7zM6w8,0,2 years ago,True,False,XJMuhwVlca4,neutral,1,general,False
And then there is the F&F franchise which keeps getting worse and worse,And then there is the F&F franchise which keeps getting worse and worse,youtube,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,,1,@SussyBaka2001,Ugydxz4eSIdOqPEu04t4AaABAg.9poqrRBpTot9ppwF49ao7f,0,2 years ago,True,False,avz06PDqDbM,negative,3,general,False
Fury Road is in the conversation with Terminator 2: Judgement Day as the best action movie of all time.,Fury Road is in the conversation with Terminator 2: Judgement Day as the best action movie of all time.,youtube,action,Mad Max: Furiosa,2024,786892,tt12037194,,0,@D4rkKn1ght311,Ugz5ThR26X5V65b0XlN4AaABAg.9xl-4Akgk4-9xnRb4hiTvo,0,2 years ago,True,False,XJMuhwVlca4,positive,5,general,False
How about it's not a mad max movie... shocker,How about it's not a mad max movie... shocker,youtube,action,Mad Max: Furiosa,2024,786892,tt12037194,,0,@Dragoneyez-y2h,Ugz5ThR26X5V65b0XlN4AaABAg.9xl-4Akgk4-9y-HZqxeFuu,0,2 years ago,True,False,XJMuhwVlca4,negative,3,general,False
J.J. Abrams came aboard as producer since the third flick is why. P.S. 'M:I-1' was too brainy but not brawny while 'M:I-2' was too brawny but not brainy.,"J.J. Abrams came aboard as producer since the third flick is why.

P.S. 'M:I-1' was too brainy but not brawny while 'M:I-2' was too brawny but not brainy.",youtube,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,,1,@marlonmoncrieffe0728,Ugydxz4eSIdOqPEu04t4AaABAg.9poqrRBpTot9qb2C5QOhI-,0,2 years ago,True,False,avz06PDqDbM,neutral,2,general,False
This movie was so worth the wait. An absolute masterpiece. 10/10!!!,This movie was so worth the wait. An absolute masterpiece. 10/10!!!,youtube,action,Top Gun: Maverick,2022,361743,tt1745960,,2300,@yankeesbroncos55,UgwEZcn2yyOKq3K9TNl4AaABAg,61,3 years ago,False,False,giXco2jaZ_4,positive,5,general,False
I feel the need. The need for this not to be postponed anymore!!!!!,I feel the need. The need for this not to be postponed anymore!!!!!,youtube,action,Top Gun: Maverick,2022,361743,tt1745960,,14000,@jehanr,UgyqC1lkw2yLFZCmlLl4AaABAg,221,4 years ago,False,False,giXco2jaZ_4,positive,4,general,False
Cannot describe how hyped I am for this film. LET’S GO.,Cannot describe how hyped I am for this film. LET’S GO.,youtube,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,,8900,@LordStarscream100,Ugwu-S5Eou9Wu8cbDv54AaABAg,130,2 years ago,False,False,avz06PDqDbM,positive,5,general,False
That is me. Wow! What a thrill ride. That was incredible.,That is me. Wow! What a thrill ride. That was incredible.,youtube,action,Top Gun: Maverick,2022,361743,tt1745960,,0,@sheripatrick1811,UgyER-UGCXcyurHv-1Z4AaABAg.9bc86DnmPAK9c9HJPZ_jZ5,0,3 years ago,True,False,giXco2jaZ_4,positive,5,general,False
This movie was different.,This movie was different.,youtube,action,Top Gun: Maverick,2022,361743,tt1745960,,2,@ph1n1x_08,UgyER-UGCXcyurHv-1Z4AaABAg.9bc86DnmPAK9eNaESaCmVO,0,3 years ago,True,False,giXco2jaZ_4,neutral,3,general,False
